,top50_scores,top25_scores,top10_scores
lh_S_collat_transv_post_thickness,0.0,0.0,0.0
lh_S_front_inf_thickness,0.0,0.0,0.0
lh_S_front_middle_thickness,0.0,0.0,0.0
lh_S_front_sup_thickness,0.0,0.0,0.0
lh_S_interm_prim.Jensen_thickness,0.0,0.0,0.0
lh_S_intrapariet.P_trans_thickness,0.0,0.0,0.0
lh_S_oc_middle.Lunatus_thickness,6.0,0.0,0.0
lh_S_oc_sup.transversal_thickness,0.0,0.0,0.0
lh_S_occipital_ant_thickness,0.0,0.0,0.0
lh_S_oc.temp_lat_thickness,0.0,0.0,0.0
lh_S_oc.temp_med.Lingual_thickness,0.0,0.0,0.0
lh_S_orbital_lateral_thickness,0.0,0.0,0.0
lh_S_orbital_med.olfact_thickness,0.0,0.0,0.0
lh_S_orbital.H_Shaped_thickness,6.0,0.0,0.0
lh_S_parieto_occipital_thickness,0.0,0.0,0.0
lh_S_pericallosal_thickness,0.0,0.0,0.0
lh_S_postcentral_thickness,0.0,0.0,0.0
lh_Pole_occipital_thickness,9.0,6.0,0.0
lh_Lat_Fis.post_thickness,0.0,0.0,0.0
lh_Lat_Fis.ant.Vertical_thickness,0.0,0.0,0.0
lh_G_pariet_inf.Supramar_thickness,0.0,0.0,0.0
lh_G_front_inf.Triangul_thickness,0.0,0.0,0.0
lh_G_front_middle_thickness,0.0,0.0,0.0
lh_G_Ins_lg.S_cent_ins_thickness,0.0,0.0,0.0
lh_G_insular_short_thickness,3.0,3.0,0.0
lh_G_occipital_middle_thickness,0.0,0.0,0.0
lh_G_occipital_sup_thickness,0.0,0.0,0.0
lh_G_oc.temp_lat.fusifor_thickness,0.0,0.0,0.0
lh_G_oc.temp_med.Lingual_thickness,0.0,0.0,0.0
lh_G_oc.temp_med.Parahip_thickness,0.0,0.0,0.0
lh_G_orbital_thickness,0.0,0.0,0.0
lh_G_pariet_inf.Angular_thickness,0.0,0.0,0.0
lh_G_parietal_sup_thickness,0.0,0.0,0.0
lh_Lat_Fis.ant.Horizont_thickness,0.0,0.0,0.0
lh_G_postcentral_thickness,0.0,0.0,0.0
lh_G_precentral_thickness,0.0,0.0,0.0
lh_G_precuneus_thickness,9.0,3.0,0.0
lh_G_rectus_thickness,0.0,0.0,0.0
lh_G_subcallosal_thickness,0.0,0.0,0.0
lh_G_temp_sup.G_T_transv_thickness,0.0,0.0,0.0
lh_G_temp_sup.Lateral_thickness,0.0,0.0,0.0
lh_G_temp_sup.Plan_polar_thickness,0.0,0.0,0.0
lh_G_temp_sup.Plan_tempo_thickness,0.0,0.0,0.0
lh_G_temporal_inf_thickness,0.0,0.0,0.0
lh_G_temporal_middle_thickness,3.0,0.0,0.0
lh_S_precentral.inf.part_thickness,0.0,0.0,0.0
lh_S_suborbital_thickness,0.0,0.0,0.0
rh_G_insular_short_thickness,0.0,0.0,0.0
lh_S_subparietal_thickness,0.0,0.0,0.0
rh_superiorfrontal_thickness,0.0,0.0,0.0
rh_superiorparietal_thickness,0.0,0.0,0.0
rh_superiortemporal_thickness,0.0,0.0,0.0
rh_frontalpole_thickness,0.0,0.0,0.0
rh_temporalpole_thickness,0.0,0.0,0.0
rh_transversetemporal_thickness,3.0,0.0,0.0
